Bahnhof_Gare_Stazione_Station;Uhrzeit;Prozentsatz
Aarau;1.0;0.04051882099235094
Aarau;3.0;0.01621264440969194
Aarau;13.0;5.403471276044086
Aarau;15.0;6.008040734921371
Aarau;19.0;4.579680670762478
Baden;1.0;0.064377373569372
Baden;3.0;0.01650649912153398
Baden;9.0;4.551260044522278
Baden;11.0;5.965440674540823
Baden;16.0;8.773937379761167
Baden;20.0;3.704827309789962
Bellinzona;2.0;0.12825944594130723
Bellinzona;3.0;0.12363567281176169
Bellinzona;5.0;0.6966819904539189
Bellinzona;8.0;6.032264889931583
Bellinzona;16.0;11.032950917140479
Bellinzona;17.0;10.153529371262346
Bellinzona;18.0;6.682558373879301
Bellinzona;;
Biel/Bienne;16.0;8.857489604211978
Biel/Bienne;23.0;1.5988987821811924
Biel/Bienne;;8504300.0
Bern;1.0;0.12555470636381777
Bern;2.0;0.04364865573519676
Bern;4.0;0.10334509896988853
Bern;10.0;4.42725433151668
Bern;;8507000.0
Basel SBB;6.0;4.105388546047928
Basel SBB;20.0;3.7681388140714276
Basel SBB;22.0;2.1224178983692203
Chur;0.0;0.22697947588140024
Chur;5.0;0.9276890445954828
Chur;6.0;3.1264611610682316
Chur;14.0;6.254317463139378
Chur;17.0;9.575012147692018
Chur;18.0;6.766124940058763
Fribourg/Freiburg;4.0;0.18340039008667644
Fribourg/Freiburg;6.0;5.207859564963399
Fribourg/Freiburg;8.0;4.33632739970205
Fribourg/Freiburg;11.0;5.568826892718737
Fribourg/Freiburg;17.0;10.517523056211601
Genève;0.0;0.5084232897219154
Genève;2.0;0.031153647798881346
Genève;5.0;0.8937098959036549
Genève;7.0;5.448346919938999
Genève;8.0;7.479243351859516
Genève;13.0;5.687710319401437
Genève;14.0;5.704310842207234
Genève;15.0;6.076944161005888
Genève;19.0;6.335335909734472
Genève;21.0;3.4824576742003526
Genève;;
Genève-Aéroport;2.0;0.01037569007784674
Genève-Aéroport;5.0;1.5016655840491446
Genève-Aéroport;8.0;6.114730331358464
Genève-Aéroport;16.0;6.533768705426795
Genève-Aéroport;21.0;2.6458300334085596
Genève-Eaux-Vives;1.0;0.22041782047880326
Genève-Eaux-Vives;5.0;0.673567306155896
Genève-Eaux-Vives;8.0;9.461987601131112
Genève-Eaux-Vives;10.0;3.744786772585276
Genève-Eaux-Vives;12.0;5.868661118595517
Genève-Eaux-Vives;13.0;5.039118445992795
Genève-Eaux-Vives;16.0;7.598111290769452
Genève-Eaux-Vives;21.0;2.5623938114134672
Lugano;7.0;9.058923875654298
Lugano;10.0;4.902481404959493
Lugano;13.0;5.399678379531893
Lugano;16.0;9.038103694766145
Lugano;17.0;10.25991403186751
Lugano;22.0;1.6065362207318201
Lugano;23.0;1.0377978407814175
Lausanne;9.0;4.583999540363573
Lausanne;14.0;4.799752155848708
Lausanne;16.0;8.660429763181444
Lausanne;19.0;5.611053519587619
Lausanne;23.0;1.6672524992184654
Luzern;12.0;6.992608455706217
Luzern;13.0;5.9002063708253925
Luzern;23.0;1.570289056664737
Neuchâtel;2.0;0.004251775954745008
Neuchâtel;11.0;4.780364252462677
Olten;10.0;3.2194915919046716
Olten;12.0;5.091129860192891
Olten;13.0;4.17005374223057
Olten;17.0;10.360449265492532
St. Gallen;9.0;4.559497006327007
St. Gallen;13.0;5.592489081236346
St. Gallen;14.0;5.371381504576092
Thun;2.0;0.010809579435747698
Thun;14.0;5.306729316421358
Thun;19.0;4.185213675966358
Thun;;8507100.0
Uster;14.0;5.309083180547015
Uster;18.0;8.21383247868822
Uster;22.0;2.137206332397521
Uster;;
Winterthur;4.0;0.07827229708115066
Winterthur;11.0;4.978108547867655
Zürich Altstetten;7.0;9.977174330226966
Zürich Altstetten;15.0;4.720007938153806
Zürich Altstetten;21.0;2.3883723202790033
Zürich Altstetten;;
Zürich Enge;4.0;0.1459752657027242
Zürich Enge;10.0;4.056730056877693
Zürich Enge;11.0;5.030645558921174
Zürich Enge;14.0;4.7433498110581045
Zürich Enge;18.0;7.714292834156645
Zürich Enge;20.0;3.1931971827431975
Zürich Enge;;
Zug;12.0;7.231623137526529
Zug;13.0;6.0964550067235495
Zug;16.0;8.833183826225143
Zug;18.0;8.016276023793106
Zug;21.0;2.8642181653960637
Zürich Hardbrücke;2.0;0.012328508310386881
Zürich Hardbrücke;7.0;11.420935642775365
Zürich Hardbrücke;16.0;8.854529124486898
Zürich Hardbrücke;20.0;3.2596964884596993
Zürich Hardbrücke;22.0;3.044278168171898
Zürich Oerlikon;8.0;7.713257425871584
Zürich Oerlikon;15.0;5.395266973396271
Zürich Stadelhofen;4.0;0.06039086620539453
Zürich Stadelhofen;6.0;3.7703982814515777
Zürich Stadelhofen;10.0;3.7577163794973902
Zürich Stadelhofen;19.0;4.792949168426679
Zürich Stadelhofen;23.0;1.5385499902895048
Zürich Hauptbahnhof;1.0;0.0990952282913981
Zürich Hauptbahnhof;3.0;0.02789640247212269
Zürich Hauptbahnhof;19.0;5.877510432019201
Zürich Hauptbahnhof;20.0;4.598756431993982
Aarau;8.0;6.55938319713143
Aarau;9.0;4.527384788416037
Aarau;16.0;9.081956068593861
Aarau;20.0;3.2852373563884063
Aarau;21.0;2.560753674627319
Baden;5.0;0.6677057945919899
Baden;12.0;7.91809938642174
Baden;17.0;10.56442294718238
Baden;21.0;2.3922396886913453
Bellinzona;9.0;4.590853875199338
Biel/Bienne;0.0;0.3298398374757802
Biel/Bienne;1.0;0.08129302211709309
Biel/Bienne;5.0;1.2839153696919037
Biel/Bienne;6.0;4.4542443130742715
Biel/Bienne;7.0;7.597747610174332
Biel/Bienne;8.0;5.857851895724341
Biel/Bienne;12.0;5.986434470368139
Biel/Bienne;14.0;5.574763737710836
Biel/Bienne;19.0;5.247347420249499
Biel/Bienne;;
Bern;8.0;6.119196440330175
Bern;9.0;4.646549337092424
Bern;12.0;6.482097923811524
Bern;18.0;7.598526584990236
Bern;22.0;2.168965907894559
Bern;23.0;1.271735435061222
Basel SBB;0.0;0.4617189715395026
Basel SBB;8.0;6.224622563252519
Basel SBB;11.0;5.107212350738709
Basel SBB;12.0;6.317441270108366
Basel SBB;15.0;6.231122401852507
Chur;1.0;0.05798803925687615
Chur;3.0;0.05881515856574721
Chur;8.0;5.75789639842357
Chur;10.0;5.246656943198228
Chur;12.0;8.243579262145797
Chur;15.0;7.25676613490535
Chur;16.0;9.453714602781432
Chur;19.0;4.16217398046085
Chur;22.0;1.2754179742791805
Chur;23.0;0.5876832168922078
Fribourg/Freiburg;0.0;0.13300750646740614
Fribourg/Freiburg;7.0;6.6142965581073545
Fribourg/Freiburg;13.0;4.865195143357392
Genève;4.0;0.30292265115513817
Genève;6.0;2.4375216267922104
Genève;16.0;7.765341834276611
Genève;17.0;9.692369717252518
Genève;18.0;8.873726463225415
Genève;20.0;4.417885606166245
Genève;23.0;1.4401391603381786
Genève-Aéroport;6.0;1.966537188517376
Genève-Aéroport;9.0;6.453349841434074
Genève-Aéroport;11.0;6.676112322900001
Genève-Aéroport;13.0;6.714669976037096
Genève-Aéroport;18.0;6.899688583979876
Genève-Aéroport;;8501026.0
Genève-Eaux-Vives;2.0;0.27002502349159063
Genève-Eaux-Vives;3.0;0.2404131588090166
Genève-Eaux-Vives;23.0;1.2002187173371603
Genève-Eaux-Vives;;
Lugano;8.0;7.697070842705375
Lugano;9.0;4.87829209239791
Lugano;18.0;7.450689928415163
Lugano;;8505300.0
Lausanne;7.0;8.902846784185
Lausanne;12.0;5.6490153441108015
Lausanne;15.0;5.975379678321287
Lausanne;22.0;2.342051705540451
Lausanne;;8501120.0
Luzern;2.0;0.07435926001831973
Luzern;6.0;2.713775393260496
Luzern;18.0;7.7922861407563255
Luzern;21.0;3.8425556573928663
Luzern;;
Neuchâtel;0.0;0.27412554247027915
Neuchâtel;9.0;4.587223641269213
Neuchâtel;16.0;8.528526063520726
Neuchâtel;17.0;10.303582168185772
Neuchâtel;18.0;8.175266520630904
Neuchâtel;20.0;3.7085143355936148
Olten;0.0;0.49921040873427786
Olten;3.0;0.04843849658184861
Olten;8.0;7.233281300273202
Olten;9.0;3.900478529825403
Olten;16.0;9.600247393894055
Olten;;8500218.0
St. Gallen;0.0;0.29680623676375184
St. Gallen;2.0;0.04718197257814778
St. Gallen;8.0;6.046182427928503
St. Gallen;10.0;4.451504280449483
St. Gallen;16.0;9.259159928201607
St. Gallen;18.0;7.339048053338192
St. Gallen;21.0;2.7120921079941356
St. Gallen;22.0;1.8398602148441796
Thun;11.0;4.883171865442123
Thun;13.0;4.965196928376231
Thun;16.0;9.241213007069195
Thun;17.0;10.54893986283544
Uster;3.0;0.012085601528993071
Uster;6.0;4.390806304135807
Uster;7.0;7.974637685823274
Uster;8.0;5.88641737145747
Uster;12.0;5.656776639919585
Uster;21.0;3.220705538824029
Winterthur;0.0;0.3243868667575911
Winterthur;2.0;0.018726043708441616
Winterthur;7.0;8.803528718134737
Winterthur;9.0;4.573474453180581
Winterthur;16.0;8.962940243634272
Winterthur;22.0;2.1386084631276088
Winterthur;;8506000.0
Zürich Altstetten;20.0;3.2272455336582704
Zürich Enge;0.0;0.2677832713975462
Zürich Enge;1.0;0.04465144212873752
Zürich Enge;16.0;7.381123175759767
Zürich Enge;22.0;1.9005935711013482
Zug;5.0;0.7877397953681389
Zug;6.0;3.1526339938574446
Zug;8.0;6.886263687978905
Zug;9.0;4.802869327985142
Zug;11.0;5.2604871825623
Zug;;8502204.0
Zürich Hardbrücke;4.0;0.09935922091916846
Zürich Hardbrücke;6.0;5.113631899988029
Zürich Hardbrücke;9.0;4.0884444852715545
Zürich Hardbrücke;11.0;3.047381685405869
Zürich Hardbrücke;18.0;8.80335609220044
Zürich Oerlikon;4.0;0.07110923967496448
Zürich Oerlikon;5.0;1.076825958952913
Zürich Oerlikon;20.0;3.7947158750743224
Zürich Oerlikon;21.0;3.0206545286964084
Zürich Oerlikon;;8503006.0
Zürich Stadelhofen;5.0;0.6312249120240851
Zürich Stadelhofen;13.0;4.949671204034346
Zürich Hauptbahnhof;4.0;0.1405170396372822
Zürich Hauptbahnhof;5.0;0.6786019684304643
Zürich Hauptbahnhof;10.0;4.207505267933633
Zürich Hauptbahnhof;14.0;5.287050557658685
Zürich Hauptbahnhof;15.0;6.020906603775948
Zürich Hauptbahnhof;21.0;3.5702856436507058
Zürich Hauptbahnhof;23.0;1.8070707972273428
Aarau;0.0;0.3304330315977226
Aarau;6.0;4.979568691475372
Aarau;14.0;5.20573226718356
Aarau;18.0;7.066983750315657
Aarau;22.0;1.830678190928777
Aarau;23.0;1.2156413699618016
Baden;10.0;4.823789574635693
Baden;18.0;8.383342124862782
Baden;22.0;1.843552306717375
Bellinzona;6.0;3.658510230349341
Bellinzona;7.0;10.210044946090324
Bellinzona;13.0;4.6096756473408025
Bellinzona;14.0;5.292008863572056
Bellinzona;19.0;4.592110335288887
Bellinzona;20.0;3.5360305008199657
Bellinzona;21.0;2.933432241871583
Biel/Bienne;4.0;0.14691353597752554
Biel/Bienne;9.0;4.496383885570287
Biel/Bienne;11.0;4.984587154602029
Biel/Bienne;13.0;5.48608887146812
