Bahnhof_Gare_Stazione;Jahr;Anzahl Bahnhofbenutzer
Aarau;2013;
Baden;2014;
Baden;2015;63000
Baden;2020;46000
Baden;2021;45000
Baden;2022;52000
Baden;2023;58000
Basel SBB;2019;136000
Bellinzona;2020;12000
Bellinzona;2023;16000
Bern;2019;330000
Chur;2015;37000
Chur;2016;37000
Chur;2023;40000
Fribourg/Freiburg;2013;
Fribourg/Freiburg;2017;31000
Fribourg/Freiburg;2019;32000
Genève;2013;
Genève;2015;151000
Genève;2021;116000
Genève;2023;171000
Genève-Aéroport;2016;42000
Genève-Aéroport;2018;44000
Genève-Eaux-Vives;2019;
Genève-Eaux-Vives;2021;8000
Genève-Eaux-Vives;2023;13000
Lausanne;2013;139000
Lausanne;2021;103000
Lugano;2013;
Luzern;2021;102000
Neuchâtel;2015;33000
Neuchâtel;2016;33000
Neuchâtel;2017;33000
Neuchâtel;2018;33000
Neuchâtel;2020;24000
Olten;2015;73000
Olten;2020;52000
Olten;2021;51000
Olten;2022;63000
St. Gallen;2013;79000
St. Gallen;2018;
St. Gallen;2020;54000
Thun;2017;42000
Thun;2020;30000
Winterthur;2017;117000
Winterthur;2018;121000
Zug;2017;66000
Zug;2023;60000
Zürich Altstetten;2015;57000
Zürich Altstetten;2017;64000
Zürich Enge;2015;21000
Zürich Enge;2022;22000
Zürich Hardbrücke;2019;55000
Zürich Hardbrücke;2020;34000
Zürich HB;2014;437000
Zürich HB;2016;439000
Zürich Oerlikon;2020;84000
Uster;2021;23000
Aarau;2015;71000
Aarau;2018;72000
Aarau;2023;76000
Baden;2013;
Baden;2017;63000
Basel SBB;2020;92000
Basel SBB;2021;96000
Bellinzona;2017;15000
Bellinzona;2019;15000
Bern;2020;228000
Bern;2021;229000
Biel/Bienne;2014;
Chur;2014;
Chur;2019;39000
Chur;2020;30000
Fribourg/Freiburg;2018;31000
Fribourg/Freiburg;2022;30000
Genève;2014;
Genève;2018;171000
Genève;2019;177000
Genève-Aéroport;2017;44000
Genève-Aéroport;2019;46000
Genève-Aéroport;2023;41000
Genève-Eaux-Vives;2014;
Genève-Eaux-Vives;2016;
Genève-Eaux-Vives;2017;
Lausanne;2020;97000
Lausanne;2022;117000
Lugano;2015;
Lugano;2019;26000
Lugano;2020;17000
Lugano;2021;22000
Lugano;2022;27000
Lugano;2023;30000
Luzern;2015;159000
Luzern;2017;164000
Luzern;2020;105000
Neuchâtel;2019;33000
Olten;2018;76000
Olten;2023;69000
St. Gallen;2014;77000
St. Gallen;2015;78000
St. Gallen;2023;78000
Thun;2013;
Thun;2014;
Thun;2019;45000
Winterthur;2014;115000
Winterthur;2015;121000
Winterthur;2020;92000
Winterthur;2021;95000
Zug;2013;62000
Zug;2014;62000
Zug;2016;66000
Zug;2021;46000
Zürich Altstetten;2016;60000
Zürich Altstetten;2023;67000
Zürich Enge;2014;
Zürich Enge;2019;25000
Zürich Enge;2020;18000
Zürich HB;2015;437000
Zürich Oerlikon;2014;
Zürich Oerlikon;2015;
Zürich Oerlikon;2021;84000
Zürich Stadelhofen;2017;100000
